episode,step,time,alpha,alpha_error,theta,alpha_dot,theta_dot,action_voltage,reward,episode_reward,best_reward,done
0,17,0.06989002227783203,3.2182916929840752,0.07669903939428213,-0.12578642460662257,1.8777697621269631,-1.796451806569052,2.8999999999999995,69.73310377546952,1257.6620430872447,-inf,False
0,18,0.07359528541564941,3.227495577711389,0.08590292412159606,-0.1380582709097077,1.6013552049795472,-1.6825058991619106,3.4799999999999995,69.74806049084961,1327.4101035780943,-inf,False
0,19,0.07752513885498047,3.2366994624387027,0.0951068088489091,-0.15033011721279282,1.4010543123348207,-1.5783864169941895,-4.0600000000000005,69.76828144293921,1397.1783850210336,-inf,False
0,20,0.08110404014587402,3.2459033471660166,0.10431069357622391,-0.1564660403643354,1.3147718458417217,-1.2888986975079035,1.7399999999999993,69.79913289852537,1466.977517919559,-inf,False
0,21,0.08501386642456055,3.2581751934691017,0.11658253987930856,-0.16873788666742054,1.3460010592332492,-1.3294422442996077,0.5800000000000001,69.82618564179779,1536.8037035613568,-inf,False
0,22,0.08910202980041504,3.2673790781964156,0.12578642460662248,-0.18100973297050565,1.2235755743769712,-1.333689564975333,-1.7400000000000002,69.84989396994733,1606.653597531304,-inf,False
0,23,0.09299635887145996,3.2827188860752723,0.14112623248547962,-0.1902136176978195,1.421764695441475,-1.2367671182883342,2.8999999999999995,69.87473240432875,1676.5283299356329,-inf,False
0,24,0.09700345993041992,3.2919227708025858,0.15033011721279266,-0.20248546400090464,1.2823207456777572,-1.2880527431648383,-1.7400000000000002,69.90058860491382,1746.4289185405466,-inf,False
0,25,0.10081839561462402,3.304194617105671,0.1626019635158773,-0.21475731030398976,1.3373945953262698,-1.341063073718003,-2.9,69.92423356099133,1816.353152101538,-inf,False
0,26,0.1048133373260498,3.3195344249845276,0.17794177139473444,-0.2270291566070749,1.4769931094717306,-1.3551288219498479,-2.3200000000000003,69.95466024424299,1886.307812345781,-inf,False
0,27,0.10836267471313477,3.3318062712876126,0.19021361769781997,-0.23623304133438874,1.5069643530004453,-1.2885490182518071,5.22,69.9681042852692,1956.2759166310502,-inf,False
0,28,0.11199426651000977,3.3440781175906977,0.2024854640009046,-0.24850488763747386,1.513180157255655,-1.3733943430165276,-1.1600000000000001,70.00647640105457,2026.282393032105,-inf,False
0,29,0.1154944896697998,3.359417925469554,0.21782527187976086,-0.25770877236478773,1.6723585691609903,-1.301326340641006,4.64,70.02584897069323,2096.308242002798,-inf,False
0,30,0.11905121803283691,3.368621810196868,0.2270291566070748,-0.26691265709210155,1.487825731745401,-1.250365105492606,-1.1600000000000001,70.05851233029465,2166.3667543330926,-inf,False
0,31,0.12321686744689941,3.380893656499953,0.23930100291016032,-0.2761165418194154,1.4280458588828802,-1.1571117104396376,-1.7400000000000002,70.08953972299395,2236.4562940560863,-inf,False
0,32,0.12709689140319824,3.3962334643788097,0.25464081078901657,-0.28838838812250056,1.5539246464003804,-1.2525317320536289,-2.9,70.12434322331457,2306.580637279401,-inf,False
0,33,0.13100576400756836,3.414641233833437,0.2730485802436444,-0.303728196001357,1.756935566812686,-1.4369734694447014,-2.9,-9.832762150616043,2296.747875128785,-inf,False
0,34,0.13491368293762207,3.433049003288065,0.2914563496982723,-0.3190680038802134,1.8808512015174923,-1.5500067194090814,-5.22,-9.79874307328393,2286.949132055501,-inf,False
